stateTime,ProveCommitSector,PreCommitSector,ProveCommitAggregate,PreCommitSectorBatch,PublishStorageDeals,SubmitWindowedPoSt,Others
"2021-04-23","35629.1086","10462.0406","0.0000","0.0000","361.5767","764.4767","56.7078"
"2021-04-24","35408.7755","10897.5415","0.0000","0.0000","201.5541","747.0717","664.9689"
"2021-04-25","35213.8762","11480.4935","0.0000","0.0000","183.5138","774.6242","43.6157"
"2021-04-26","35228.5822","11259.8897","0.0000","0.0000","146.7481","777.9067","276.0628"
"2021-04-27","32194.0674","10855.2929","0.0000","0.0000","261.3841","793.2948","375.6738"
"2021-04-28","34238.5971","11405.0637","0.0000","0.0000","243.2231","823.7790","147.7116"
"2021-04-29","34508.6843","11344.7741","0.0000","0.0000","140.3269","870.8521","66.9675"
"2021-04-30","35120.8395","10940.7253","0.0000","0.0000","142.8011","833.8607","45.4219"
"2021-05-01","34079.1573","10795.8051","0.0000","0.0000","146.2447","835.4692","39.1830"
"2021-05-02","35083.4829","11463.2055","0.0000","0.0000","336.2976","836.8887","50.6149"
"2021-05-03","35538.0435","11143.3030","0.0000","0.0000","180.6239","824.3282","39.3299"
"2021-05-04","35715.1586","11043.2030","0.0000","0.0000","129.0458","811.2407","42.2723"
"2021-05-05","34028.0514","11275.8503","0.0000","0.0000","192.8318","851.7237","212.8928"
"2021-05-06","35717.1413","11371.4326","0.0000","0.0000","108.5636","828.2109","895.4572"
"2021-05-07","36553.2845","11178.3249","0.0000","0.0000","141.3199","854.9856","63.9648"
"2021-05-08","36355.2765","11528.3472","0.0000","0.0000","99.7754","798.8447","41.7001"
"2021-05-09","35987.3150","11961.5745","0.0000","0.0000","77.7786","839.0607","52.3398"
"2021-05-10","36383.7596","11861.4716","0.0000","0.0000","108.3297","799.1571","54.3325"
"2021-05-11","36673.4563","11627.6868","0.0000","0.0000","103.5034","804.8248","145.9151"
"2021-05-12","35744.0569","11952.3679","0.0000","0.0000","73.8377","832.6633","58.8560"
"2021-05-13","35642.0312","11367.3472","0.0000","0.0000","28.5400","835.8342","42.8326"
"2021-05-14","36103.2532","10854.0796","0.0000","0.0000","6.8724","845.2242","34.8865"
"2021-05-15","35939.6965","11717.9641","0.0000","0.0000","7.1251","853.2805","37.0016"
"2021-05-16","35954.3122","11624.6836","0.0000","0.0000","1.9155","870.6512","40.8141"
"2021-05-17","37077.3993","11109.3843","0.0000","0.0000","7.9346","889.3727","45.9284"
"2021-05-18","36274.6131","11383.0001","0.0000","0.0000","3.6130","885.8870","47.3733"
"2021-05-19","35721.0544","11403.5535","0.0000","0.0000","3.3955","896.5197","46.0880"
"2021-05-20","36143.3289","10477.3971","0.0000","0.0000","6.6212","828.3462","41.1963"
"2021-05-21","36413.5628","10196.1074","0.0000","0.0000","4.0168","837.1778","48.4094"
"2021-05-22","36315.2597","11669.3075","0.0000","0.0000","2.3453","828.9323","113.3078"
"2021-05-23","35480.2254","11452.1904","0.0000","0.0000","20.9093","921.9432","47.7248"
"2021-05-24","35682.4246","10961.4943","0.0000","0.0000","53.9926","858.0356","49.9363"
"2021-05-25","36378.8944","12057.1266","0.0000","0.0000","59.8316","900.3009","96.5885"
"2021-05-26","35596.4384","11345.4504","0.0000","0.0000","64.3369","914.1789","93.5679"
"2021-05-27","35599.9774","10910.7894","0.0000","0.0000","77.7922","906.1208","749.5958"
"2021-05-28","36206.7792","10986.7878","0.0000","0.0000","14.6013","856.0032","69.0164"
"2021-05-29","34519.3899","11197.0022","0.0000","0.0000","60.4228","977.6507","2827.2597"
"2021-05-30","34615.0580","10379.4945","0.0000","0.0000","94.2196","950.9626","884.8956"
"2021-05-31","34900.6744","10783.8968","0.0000","0.0000","84.9127","977.2870","435.8683"
"2021-06-01","37658.1522","12267.5775","0.0000","0.0000","85.1727","893.3270","58.4130"
"2021-06-02","33216.1254","10163.3021","0.0000","0.0000","77.8602","920.3793","67.5233"
"2021-06-03","36373.6974","11320.6647","0.0000","0.0000","139.2373","1244.1535","113.4529"
"2021-06-04","36662.0848","11876.8525","0.0000","0.0000","73.8421","903.9918","56.2696"
